latitude,longitude,lat,lng,OID,CLUES,ESTADO,CLAVE_ENT,MUNICIPIO,CLAVE_MUNICIPIO,CVE_MUN,NOMBRE_LOCALIDAD,CLAVE_LOCALIDAD,NOMBRE_JURISDICCION,CLAVE_JURISDICCION,NOMBRE_INSTITUCION,CLAVE_INSTITUCION,TIPO_ESTABLECIMIENTO,CLAVE_TIPO_ESTABLECIMIENTO,NOMBRE_TIPOLOGIA,CLAVE_TIPOLOGIA,NOMBRE_SUBTIPOLOGIA,CLAVE_SUBTIPOLOGIA,CONSULTORIOS_MED_GRAL,OTROS_CONSULTORIOS,TOTAL_CONSULTORIOS,CAMAS_HOS,OTRAS_CAMAS,TOTAL_CAMAS,UNIDAD,ATENC_COVID,ESTADO_FASE,FASE_1_COVID,FASE_2_COVID,FASE_3_COVID,CLAVE_VIALIDAD,TIPO_VIALIDAD,VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,CLAVE_TIPO_ASENTAMIENTO,TIPO_ASENTAMIENTO,ASENTAMIENTO,OBSERVACIONES_DIRECCION,CODIGO_POSTAL,ESTATUS_OPERACION,CLAVE_ESTATUS_OPERACION,FECHA_CONSTRUCCION,FECHA_INICIO_OPERACION,LATITUDE,LONGITUDE,INS_ADM,INS_ADM_CLAVE,NIVEL_ATENCION,CLAVE_NIVEL_ATENCION,ESTRATO_UNIDAD,CLAVE_ESTRATO_UNIDAD,AREAS_SERVICIOS,POB_ENT,POB_MUN,RES_MUN_18ABR,RES_MUN_18ABR,RES_MUN_19ABR,RES_MUN_20ABR
19.8394,-90.5387,19.8394,-90.5387,1016,CCIMS000016,CAMPECHE,4,CAMPECHE,2,4002,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,52,0,52,110,0,110,HGZMF 1 CAMPECHE,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,NO DISPONIBLE,,,,,CENTRO,"AV. LÓPEZ MATEOS POR TALAMANTES Y QUINTANA ROO COL. CENTRO C.P. 24000, CAMPECHE, CAMPECHE",24000,EN OPERACION,1,,,19.8394,-90.5387,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,822441,259005,8,9,10,12
18.6426,-91.8399,18.6426,-91.8399,1019,CCIMS000045,CAMPECHE,4,CARMEN,3,4003,CIUDAD DEL CARMEN,1,CARMEN,3,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,22,0,22,54,0,54,HGZMF 4 CD. CARMEN,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,NO DISPONIBLE,,,,,CENTRO,"CALLE 41 B DOMICILIO CONOCIDO ENTRE 20 Y 22 COL. CENTRO C.P. 24100, CIUDAD DEL CARMEN, CAMPECHE",24100,EN OPERACION,1,,,18.6426,-91.8399,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,822441,221094,15,22,22,25
19.8309,-90.5487,19.8309,-90.5487,1220,CCSSA017386,CAMPECHE,4,CAMPECHE,2,4002,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO DE SALUD PUBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,,,FIEL JURADO POR CASTILLO OLIVER,LOTES 4 Y 5 MANZANA 1,,,,,FIEL JURADO X CASTILLO OLIVER L- 4Y5 MZA. 1,99999,EN OPERACION,1,,01/02/1999,19.8309,-90.5487,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,822441,259005,8,9,10,12
28.644,-106.079,28.644,-106.079,1435,CHIMS000136,CHIHUAHUA,8,CHIHUAHUA,19,8019,CHIHUAHUA,1,CHIHUAHUA,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL REGIONAL,HGR,NO ESPECIFICADO,99,54,0,54,293,0,293,HGR 1 CHIHUAHUA,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,UNIVERSIDAD Y GARCÍA CONDE,,,,,,AV UNIVERSIDAD Y GARCIA CONDE,31000,EN OPERACION,1,,,28.644,-106.079,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3406465,819543,25,25,26,29
28.1951,-105.483,28.1951,-105.483,1442,CHIMS000206,CHIHUAHUA,8,DELICIAS,21,8021,DELICIAS,1,CHIHUAHUA,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,49,0,49,128,0,128,HGZMF 11 CD. DELICIAS,SI,3,,,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,5,CALLE,RÍO CONCHOS PONIENTE,SIN NÚMERO,,,,CENTRO,AV RÍO CONCHOS PONIENTE S/N COL CENTRO,33000,EN OPERACION,1,,,28.1951,-105.483,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3406465,137935,0,0,0,0
31.7409,-106.45,31.7409,-106.45,1451,CHIMS000293,CHIHUAHUA,8,JUÁREZ,37,8037,JUAREZ,1,JUÁREZ,2,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,42,0,42,222,0,222,HGZ 6 CD.JUÁREZ,SI,3,,,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,,,JUVENAL ARAGÓN ROMO,450 NORTE,,,,ZONA PRONAF,CALLE JUVENAL ARAGÓN ROMO NO. 450 NORTE ZONA PRONAF,32310,EN OPERACION,1,,,31.7409,-106.45,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3406465,1332131,75,88,102,103
31.6189,-106.384,31.6189,-106.384,1479,CHIMS000573,CHIHUAHUA,8,JUÁREZ,37,8037,JUAREZ,1,JUÁREZ,2,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL REGIONAL,HGR,NO ESPECIFICADO,99,36,0,36,236,0,236,HGR 66 CD. JUÁREZ,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,DURANGO Y ROMÁN REYES,,,,,FRACCIONAMIENTO TORRES DEL SUR,"DURANGO Y ROMAN REYES, FRACC. TORRES DEL SUR",32170,EN OPERACION,1,,01/01/2006,31.6189,-106.384,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,3406465,1332131,75,88,102,103
28.6665,-106.072,28.6665,-106.072,1934,CHSSA017482,CHIHUAHUA,8,CHIHUAHUA,19,8019,CHIHUAHUA,1,CHIHUAHUA,1,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO REGIONAL DE SALUD PÚBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,,,JIMÉNEZ,4203,,,,CUARTELES,C. JIMÉNEZ NO. 4203 COL. CUARTELES,99999,EN OPERACION,1,,,28.6665,-106.072,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,3406465,819543,25,25,26,29
26.9027,-101.431,26.9027,-101.431,2168,CLIMS000111,COAHUILA DE ZARAGOZA,5,MONCLOVA,18,5018,MONCLOVA,1,MONCLOVA,4,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,63,0,63,229,0,229,HGZMF 7 MONCLOVA,SI,3,,2 ATENCIÓN Y TRATAMIENTO,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,5,CALLE,HAROLD R. PAPE,,,,,CENTRO,"BLVD. HAROLD R. PAPE COL. CENTRO C.P. 25700, MONCLOVA, COAHUILA",25700,EN OPERACION,1,,,26.9027,-101.431,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,2748391,216206,113,123,126,132
25.4186,-101.007,25.4186,-101.007,2189,CLIMS000321,COAHUILA DE ZARAGOZA,5,SALTILLO,30,5030,SALTILLO,1,SALTILLO,8,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,22,0,22,172,0,172,HGZ 1 SALTILLO,SI,3,,2 ATENCIÓN Y TRATAMIENTO,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,5,CALLE,ANTONIO NARRO Y LUIS GUTIÉRREZ,,,,,ZONA CENTRO,"CLZD. ANTONIO NARRO Y LUIS GUTIÉRREZ COL. ZONA CENTRO C.P. 25000, SALTILLO, COAHUILA",25000,EN OPERACION,1,,,25.4186,-101.007,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,2748391,725123,26,26,26,28
25.5352,-103.4197,25.5352,-103.4197,2206,CLIMS000490,COAHUILA DE ZARAGOZA,5,TORREÓN,35,5035,TORREON,1,TORREÓN,6,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL DE ESPECIALIDADES,HESP,NO ESPECIFICADO,99,45,0,45,235,0,235,HES 71 TORREON,SI,3,,,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,5,CALLE,REVOLUCIÓN Y CALLE 27,,,,,CENTRO,"BLVD. REVOLUCIÓN Y CALLE 27 COL. CENTRO C.P. 27100, TORREÓN, COAHUILA",27100,EN OPERACION,1,,,25.5352,-103.4197,NO ESPECIFICADO,99,TERCER NIVEL,3,URBANO,2,,2748391,639629,23,23,23,27
25.4149,-100.9691,25.4149,-100.9691,2527,CLSSA002052,COAHUILA DE ZARAGOZA,5,SALTILLO,30,5030,SALTILLO,1,SALTILLO,8,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO ESTATAL,SI,1,1 PRUEBAS DE DETECCIÓN,,,,,CARLOS ABEDROP DÁVILA ESQUINA DÁMASO RODRÍGUEZ CONTRERAS,,,,,CENTRO METROPOLITANO,"CALLE CARLOS ABEDROP DÁVILA ESQ. DÁMASO RODRÍGUEZ CONTRERAS , CENTRO METROPOLITANO",25020,EN OPERACION,1,,,25.4149,-100.9691,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,2748391,725123,26,26,26,28
19.1058,-104.329,19.1058,-104.329,2632,CMIMS000063,COLIMA,6,MANZANILLO,7,6007,MANZANILLO,1,MANZANILLO,3,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,18,0,18,64,0,64,-HGZ 10 MANZANILLO,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,DE LAS GARZAS,29,,,,SOLEARES,"AV. PASEO DE LAS GARZAS NO. 29, COL. SOLEARES; MANZANILLO, COLIMA C.P. 28869",99999,FUERA DE OPERACION,3,,,19.1058,-104.329,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,650555,161420,5,6,7,7
14.9197,-92.2651,14.9197,-92.2651,3502,CSIMS000205,CHIAPAS,7,TAPACHULA,89,7089,TAPACHULA DE CORDOVA Y ORDOÑEZ,1,TAPACHULA,7,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,49,0,49,133,0,133,HGZMF 1 TAPACHULA,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,CARRETERA COSTERA Y ANILLO PERIFÉRICO,SIN NÚMERO,,,,CENTRO,"CARRETERA COSTERA Y ANILLO PERIFÉRICO S/N COL. CENTRO C.P. 30700, TAPACHULA, CHIAPAS",30700,EN OPERACION,1,,,14.9197,-92.2651,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,4796580,320451,5,5,5,5
16.7573,-93.1061,16.7573,-93.1061,3507,CSIMS000251,CHIAPAS,7,TUXTLA GUTIÉRREZ,101,7101,TUXTLA GUTIERREZ,1,TUXTLA GUTIERREZ,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,51,0,51,145,0,145,HGZ 2 TUXTLA GUTIÉRREZ,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,5,CALLE,EMILIO O. RABASA,SIN NÚMERO,,,,CENTRO,"CLZD. EMILIO O. RABASA S/N COL. CENTRO C.P. 29000, TUXTLA GUTIÉRREZ, CHIAPAS",29000,EN OPERACION,1,,,16.7573,-93.1061,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,4796580,553374,22,23,27,27
16.7508,-93.1297,16.7508,-93.1297,3539,CSIST000251,CHIAPAS,7,TUXTLA GUTIÉRREZ,101,7101,TUXTLA GUTIERREZ,1,TUXTLA GUTIERREZ,1,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL,HG,NO ESPECIFICADO,99,37,0,37,76,0,76,DR. BELISARIO DOMINGUEZ,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,14 PONIENTE Y PERIFÉRICO SUR,SIN NÚMERO,,,,ISSSTE,"14 PONIENTE Y PERIFERICO SUR S/N, COL. ISSSTE",29060,EN OPERACION,1,01/09/1970,01/09/1970,16.7508,-93.1297,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,4796580,553374,22,23,27,27
16.7576,-93.0846,16.7576,-93.0846,4571,CSSSA017196,CHIAPAS,7,TUXTLA GUTIÉRREZ,101,7101,TUXTLA GUTIERREZ,1,TUXTLA GUTIERREZ,1,SECRETARIA DE SALUD,SSA,DE APOYO,3,LABORATORIOS,LAB,NO ESPECIFICADO,99,0,0,0,0,0,0,LABORATORIO ESTATAL DE SALUD PÚBLICA,SI,1,1 PRUEBAS DE DETECCIÓN,,,,,NO DISPONIBLE,3452,,,,,BOLVD. SALOMON GONZALEZ BLANCO NO. 3452,29040,EN OPERACION,1,,01/04/1998,16.7576,-93.0846,SECRETARÍA DE SALUD ESTATAL,SESA,NO APLICA,6,URBANO,2,,4796580,553374,22,23,27,27
19.2664,-99.1744,19.2664,-99.1744,4876,DFDIF000063,CIUDAD DE MEXICO,9,TLALPAN,12,9012,TLALPAN,1,TLALPAN,8,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,DIF,DE ASISTENCIA SOCIAL,4,NO ESPECIFICADO,99,NO ESPECIFICADO,99,2,0,2,0,0,0,ÁREA OPERATIVA SUR,SI,3,1 PRUEBAS DE DETECCIÓN,,3 HOSPITAL ATENCIÓN Y TRATAMIENTO,5,CALLE,LACANDONES PEDREGAL DE LAS AGUILAS,SIN NÚMERO,,,,TLALCOLIGIA,"AVENIDA LACANDONES SIN NÚMERO, PEDREGAL DE LAS AGUILAS, COLONIA TLALCOLIGIA",14439,EN OPERACION,1,,,19.2664,-99.1744,NO ESPECIFICADO,99,NO APLICA,6,URBANO,2,,8851080,650567,156,186,201,207
19.4843,-99.1247,19.4843,-99.1247,4993,DFIMS000225,CIUDAD DE MEXICO,9,GUSTAVO A. MADERO,5,9005,GUSTAVO A. MADERO,1,GUSTAVO A. MADERO,1,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL DE ZONA,HGZ,NO ESPECIFICADO,99,39,0,39,130,0,130,HGZ 24 INSURGENTES,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,INSURGENTES NORTE ESQUINA EJE 4 NORTE FORTUNA,1322,,,,MAGDALENA DE LAS SALINAS,"INSURGENTES NORTE NO. 1322 ESQUINA EJE 4 NORTE FORTUNA COL. MAGDALENA DE LAS SALINAS C.P. 07760, GUSTAVO A. MADERO, D.F.",7760,EN OPERACION,1,,,19.4843,-99.1247,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,8851080,1185772,208,238,263,268
19.3946,-99.1618,19.3946,-99.1618,5024,DFIMS000534,CIUDAD DE MEXICO,9,BENITO JUÁREZ,14,9014,BENITO JUAREZ,1,BENITO JUÁREZ,14,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,DE HOSPITALIZACIÓN,2,HOSPITAL GENERAL REGIONAL,HGR,NO ESPECIFICADO,99,64,0,64,214,0,214,HGZ 1 CARLOS MCGREGOR,SI,2,,2 ATENCIÓN Y TRATAMIENTO,,,,GABRIEL MANCERA ENTRE ROMERO DE TERREROS Y NICOLAS SAN JUAN,222,,,,DEL VALLE,"GABRIEL MANCERA NO. 222 ENTRE ROMERO DE TERREROS Y NICOLAS SAN J COL. DEL VALLE C.P. 03100, MÉXICO D.F., D.F.",3100,EN OPERACION,1,,,19.3946,-99.1618,NO ESPECIFICADO,99,SEGUNDO NIVEL,2,URBANO,2,,8851080,385439,91,96,109,115
